iter	Passed	Remaining
713	2829	1133
714	2833	1129
715	2836	1125
716	2839	1120
717	2843	1116
718	2846	1112
719	2849	1108
720	2853	1104
721	2857	1100
722	2860	1096
723	2865	1092
724	2868	1087
725	2871	1083
726	2875	1079
727	2878	1075
728	2882	1071
729	2886	1067
730	2889	1063
731	2892	1059
732	2896	1054
733	2900	1051
734	2904	1047
735	2908	1043
736	2912	1039
737	2916	1035
738	2919	1031
739	2923	1027
740	2926	1022
741	2929	1018
742	2932	1014
743	2935	1010
744	2938	1005
745	2941	1001
746	2945	997
747	2950	993
748	2953	989
749	2957	985
750	2960	981
751	2963	977
752	2967	973
753	2969	968
754	2973	964
755	2977	961
756	2981	957
757	2985	953
758	2989	949
759	2993	945
760	2997	941
761	3000	937
762	3003	932
763	3007	928
764	3011	925
765	3014	920
766	3017	916
767	3020	912
768	3023	908
769	3027	904
770	3030	900
771	3034	896
772	3037	892
773	3041	888
774	3044	883
775	3048	879
776	3051	875
777	3055	871
778	3059	867
779	3062	863
780	3066	859
781	3069	855
782	3074	852
783	3078	848
784	3081	843
785	3084	839
786	3088	835
787	3092	831
788	3095	827
789	3099	823
790	3102	819
791	3106	815
792	3109	811
793	3113	807
794	3117	803
795	3120	799
796	3123	795
797	3127	791
798	3131	787
799	3135	783
800	3138	779
801	3141	775
802	3145	771
803	3149	767
804	3153	764
805	3158	760
806	3162	756
807	3166	752
808	3170	748
809	3174	744
810	3177	740
811	3181	736
812	3185	732
813	3188	728
814	3192	724
815	3196	720
816	3199	716
817	3202	712
818	3206	708
819	3210	704
820	3215	700
821	3218	696
822	3220	692
823	3225	688
824	3228	684
825	3231	680
826	3236	676
827	3238	672
828	3242	668
829	3246	664
830	3249	660
831	3253	656
832	3256	652
833	3259	648
834	3263	644
835	3267	640
836	3270	636
837	3274	633
838	3277	628
839	3280	624
840	3283	620
841	3287	616
842	3291	612
843	3294	608
844	3298	605
845	3301	601
846	3305	597
847	3308	593
848	3312	589
849	3316	585
850	3319	581
851	3323	577
852	3326	573
853	3330	569
854	3334	565
855	3337	561
856	3341	557
857	3345	553
858	3350	549
859	3353	545
860	3356	541
861	3360	538
862	3364	534
863	3368	530
864	3372	526
865	3375	522
866	3379	518
867	3383	514
868	3387	510
869	3391	506
870	3394	502
871	3397	498
872	3401	494
873	3404	490
874	3407	486
875	3411	482
876	3415	479
877	3419	475
878	3422	471
879	3426	467
880	3430	463
881	3433	459
882	3436	455
883	3440	451
884	3444	447
885	3448	443
886	3452	439
887	3456	435
888	3459	431
889	3463	428
890	3467	424
891	3471	420
892	3474	416
893	3477	412
894	3480	408
895	3484	404
896	3487	400
897	3490	396
898	3494	392
899	3498	388
900	3502	384
901	3505	380
902	3508	376
903	3512	372
904	3515	369
905	3519	365
906	3523	361
907	3526	357
908	3529	353
909	3534	349
910	3537	345
911	3540	341
912	3544	337
913	3546	333
914	3549	329
915	3552	325
916	3556	321
917	3560	317
918	3563	314
919	3568	310
920	3572	306
921	3575	302
922	3579	298
923	3583	294
924	3587	290
925	3590	286
926	3594	283
927	3598	279
928	3602	275
929	3605	271
930	3608	267
931	3612	263
932	3616	259
933	3619	255
934	3622	251
935	3626	247
936	3630	244
937	3633	240
938	3637	236
939	3640	232
940	3644	228
941	3647	224
942	3650	220
943	3653	216
944	3656	212
945	3659	208
946	3661	204
947	3664	200
948	3666	197
949	3668	193
